Name,k_percent,bb_percent,xba,xslg,xobp,single%,double%,triple%,home_run%,PA/G,Hand
Ryan Pepiot,24.59499263622975,8.98379970544919,0.225,0.40099999999999997,0.2960235640648012,0.11487481590574374,0.039764359351988215,0.004418262150220913,0.03829160530191458,21.903225806451612,R
Ryan Pressly,15.384615384615385,9.340659340659341,0.0,0.0,0.35714285714285715,0.17582417582417584,0.04395604395604396,0.0,0.03296703296703297,4.136363636363637,R
Ryan Rolison,18.004866180048662,10.70559610705596,0.244,0.386,0.34793187347931875,0.1630170316301703,0.0340632603406326,0.0024330900243309003,0.0413625304136253,4.36,
Ryan Thompson,18.005540166204987,7.202216066481994,0.275,0.381,0.34349030470914127,0.18282548476454294,0.055401662049861494,0.0,0.019390581717451522,4.043478260869565,R
Ryan Walker,19.951923076923077,8.653846153846153,0.251,0.368,0.34615384615384615,0.17067307692307693,0.038461538461538464,0.007211538461538462,0.021634615384615384,4.6875,R
Ryan Watson,19.642857142857142,7.857142857142857,0.269,0.451,0.3142857142857143,0.1392857142857143,0.05,0.007142857142857143,0.02857142857142857,6.222222222222222,
Ryan Weathers,24.52316076294278,6.811989100817438,0.255,0.424,0.3010899182561308,0.1566757493188011,0.0340599455040872,0.0027247956403269754,0.0340599455040872,22.72,L
Ryan Weiss,22.900763358778626,15.267175572519085,0.0,0.0,0.4198473282442748,0.183206106870229,0.015267175572519083,0.007633587786259542,0.061068702290076333,14.555555555555555,
Ryan Yarbrough,19.183673469387756,8.16326530612245,0.24308571428571427,0.37818367346938775,0.3020408163265306,0.13673469387755102,0.030612244897959183,0.00816326530612245,0.0326530612244898,7.0625,L
Ryan Zeferjahn,29.92424242424243,13.446969696969697,0.20106083650190115,0.3465095057034221,0.3333333333333333,0.10606060606060606,0.030303030303030304,0.001893939393939394,0.03598484848484849,4.839285714285714,R
Ryne Nelson,19.917864476386033,6.468172484599589,0.2508316221765914,0.44343839835728954,0.28439425051334705,0.12114989733059549,0.04209445585215606,0.011293634496919919,0.03593429158110883,23.666666666666668,R
Ryne Stanek,23.565573770491802,12.295081967213115,0.23456762295081965,0.4019282786885246,0.33811475409836067,0.1413934426229508,0.03483606557377049,0.004098360655737705,0.03278688524590164,3.819672131147541,R
Sam Aldegheri,14.56953642384106,11.258278145695364,0.0,0.0,0.32450331125827814,0.1390728476821192,0.026490066225165563,0.006622516556291391,0.033112582781456956,16.77777777777778,R
Sam Bachman,21.91780821917808,12.671232876712327,0.213,0.319,0.3321917808219178,0.13013698630136986,0.03767123287671233,0.0,0.023972602739726026,4.829268292682927,
Sam Hentges,22.727272727272727,14.935064935064934,0.0,0.0,0.37012987012987014,0.16233766233766234,0.032467532467532464,0.0,0.0,3.85,R
Sam Long,17.46031746031746,11.640211640211641,0.0,0.0,0.38095238095238093,0.1746031746031746,0.042328042328042326,0.0,0.037037037037037035,4.846153846153846,R
Sam Moll,22.822822822822822,12.012012012012011,0.241,0.364,0.34234234234234234,0.13813813813813813,0.03903903903903904,0.003003003003003003,0.02702702702702703,3.9375,L
Samy Natera,39.09090909090909,10.0,0.0,0.0,0.2545454545454545,0.09090909090909091,0.045454545454545456,0.0,0.00909090909090909,4.583333333333333,R
Sandy Alcantara,18.443427076520603,6.998037933289732,0.25482145192936556,0.39959450621321124,0.302812295618051,0.14911706998037932,0.04578155657292348,0.0013080444735120993,0.026160889470241987,27.03448275862069,R
Sawyer Gipson-Long,19.548872180451127,4.511278195488721,0.0,0.0,0.3157894736842105,0.12781954887218044,0.06766917293233082,0.0,0.06015037593984962,16.625,R
Scott Alexander,9.876543209876543,11.11111111111111,0.0,0.0,0.4074074074074074,0.1111111111111111,0.1111111111111111,0.0,0.06172839506172839,3.857142857142857,R
Scott Barlow,23.47826086956522,13.91304347826087,0.227,0.365,0.33260869565217394,0.09782608695652174,0.03260869565217391,0.002173913043478261,0.03260869565217391,4.222222222222222,R
Scott Blewett,18.77133105802048,8.873720136518772,0.0,0.0,0.3242320819112628,0.16382252559726962,0.034129692832764506,0.0034129692832764505,0.030716723549488054,6.6,R
Scott McGough,21.333333333333336,9.333333333333334,0.0,0.0,0.3466666666666667,0.10666666666666667,0.08,0.0,0.05333333333333334,5.769230769230769,R
Sean Burke,24.37043054427295,9.50446791226645,0.2346515028432169,0.4095426482534525,0.31275385865150285,0.12347684809098294,0.045491470349309504,0.004061738424045491,0.03330625507717303,22.678571428571427,R
Sean Hjelle,15.068493150684931,12.32876712328767,0.0,0.0,0.410958904109589,0.1780821917808219,0.0821917808219178,0.0,0.0273972602739726,6.083333333333333,R
Sean Manaea,23.878787878787875,6.424242424242424,0.2536242424242424,0.44311757575757577,0.32606060606060605,0.13818181818181818,0.04727272727272727,0.009696969696969697,0.041212121212121214,19.379310344827587,L
Sean Newcomb,22.969187675070028,8.263305322128852,0.24819047619047618,0.36676190476190473,0.3123249299719888,0.16246498599439776,0.03361344537815126,0.0070028011204481795,0.00980392156862745,6.333333333333333,L
Sean Reynolds,21.367521367521366,14.529914529914532,0.0,0.0,0.3418803418803419,0.10256410256410256,0.03418803418803419,0.0,0.03418803418803419,6.157894736842105,R
Sean Sullivan,14.035087719298245,9.649122807017541,0.0,0.0,0.42105263157894735,0.11403508771929824,0.12280701754385964,0.017543859649122806,0.043859649122807015,22.8,R
Seranthony Domínguez,27.392120075046904,14.446529080675422,0.0,0.0,0.32082551594746717,0.11069418386491557,0.0225140712945591,0.001876172607879925,0.0300187617260788,3.8275862068965516,R
Seth Halvorsen,18.94736842105263,13.333333333333334,0.0,0.0,0.36140350877192984,0.12982456140350876,0.04912280701754386,0.007017543859649123,0.03859649122807018,4.48,R
